player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
485,25-26-champions-league-newcastle-united-vs-qarabag-fk,68,4,0,6,3.36,0.13,6,2,2,11,34,17,0.0,2.0,4,0,0.0,1,0.0,0,1,1,0,0,0,0,4,1,4,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,4.26,1,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,25-26-champions-league-newcastle-united-vs-qarabag-fk,87,0,1,6,0.88,0.06,3,1,2,12,42,22,0.0,3.0,0,0,0.0,2,0.0,0,0,4,0,0,0,1,5,3,5,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.62,4,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,25-26-champions-league-newcastle-united-vs-qarabag-fk,90,1,0,2,0.23,0.02,1,0,0,3,67,58,0.0,0.0,5,0,0.0,2,0.0,0,0,4,0,2,2,0,4,2,1,0.0,3,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.88,1,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,25-26-champions-league-newcastle-united-vs-qarabag-fk,90,0,1,2,0.45,0.2,2,0,2,3,82,60,0.0,1.0,1,0,0.0,4,0.0,0,2,1,2,4,4,1,4,4,0,0.0,4,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.33,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,25-26-champions-league-newcastle-united-vs-qarabag-fk,90,0,0,0,0.0,0.11,0,5,0,0,91,46,0.0,1.0,5,0,0.0,0,0.0,0,2,9,0,0,0,0,10,5,10,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,4,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,25-26-champions-league-newcastle-united-vs-qarabag-fk,77,0,1,0,0.0,0.32,0,0,0,1,65,46,0.0,2.0,8,1,0.0,3,0.0,0,0,3,1,2,1,1,1,2,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,25-26-champions-league-newcastle-united-vs-qarabag-fk,22,1,0,1,0.04,0.13,1,0,0,0,20,14,0.0,1.0,2,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.06,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,25-26-champions-league-newcastle-united-vs-qarabag-fk,90,0,0,1,0.04,0.2,0,0,0,0,89,64,0.0,1.0,5,1,0.0,1,0.0,0,2,2,0,0,0,0,4,4,4,0.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,25-26-champions-league-newcastle-united-vs-qarabag-fk,68,0,0,1,0.1,0.11,0,1,0,3,37,25,0.0,1.0,2,0,0.0,2,0.0,0,0,4,0,0,0,0,4,3,4,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,25-26-champions-league-newcastle-united-vs-qarabag-fk,90,0,0,1,0.19,0.01,0,1,1,2,43,26,0.0,0.0,2,0,0.0,2,0.0,0,1,3,0,3,1,2,4,4,3,0.0,1,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,25-26-champions-league-newcastle-united-vs-qarabag-fk,68,0,0,1,0.02,0.15,0,0,0,2,37,15,0.0,2.0,3,1,0.0,0,0.0,0,0,2,0,0,0,1,2,5,2,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,25-26-champions-league-newcastle-united-vs-qarabag-fk,22,0,0,1,0.31,0.0,1,1,1,2,12,4,0.0,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,2,1,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.32,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,25-26-champions-league-newcastle-united-vs-qarabag-fk,90,0,0,0,0.0,0.0,0,0,0,0,24,14,0.0,0.0,0,0,0.0,1,0.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,0.1,-0.9,1,14,1,0.0,2,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,25-26-champions-league-newcastle-united-vs-qarabag-fk,22,0,0,0,0.0,0.01,0,0,0,0,15,14,0.0,0.0,3,0,0.0,2,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,25-26-champions-league-newcastle-united-vs-qarabag-fk,13,0,0,0,0.0,0.0,0,0,0,0,8,6,0.0,0.0,0,0,0.0,0,0.0,0,0,2,0,0,0,2,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,25-26-champions-league-newcastle-united-vs-qarabag-fk,3,0,0,0,0.0,0.1,0,0,0,0,3,0,0.0,1.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,90,0,0,1,0.1,0.14,0,0,0,4,81,60,87.0,1.0,11,1,50.0,0,0.0,2,1,7,0,0,0,1,6,3,5,62.0,1,100.0,3,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,90,0,0,0,0.0,0.14,0,0,0,1,67,42,89.0,0.0,5,0,0.0,0,0.0,1,0,5,0,3,2,1,6,3,3,50.0,3,100.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,90,0,0,0,0.0,0.0,0,0,0,0,30,0,0.0,0.0,2,0,0.0,0,0.0,0,0,7,0,0,0,0,0,1,0,0.0,0,0.0,0,0,2,1,1.17,0.17,0,18,3,0.0,0,0,2,0,0.0,0.0,0.0,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,90,1,0,2,0.11,0.1,2,0,0,9,49,20,74.0,1.0,3,0,0.0,0,0.0,0,0,2,0,0,0,0,5,7,5,45.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,1.0,0,0,0,0,0.0,0.0,0.75,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,86,0,1,0,0.0,0.12,0,0,0,3,32,19,73.0,2.0,2,0,0.0,0,0.0,1,0,1,0,0,0,0,3,5,3,60.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,86,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,90,0,0,2,0.1,0.03,1,0,0,4,61,33,85.0,1.0,2,0,0.0,0,0.0,2,0,1,0,1,0,1,3,5,3,60.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.44,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,64,0,0,0,0.0,0.03,0,0,0,0,98,81,88.0,0.0,12,0,0.0,4,50.0,1,1,1,0,4,2,0,4,3,1,50.0,3,60.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,64,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,90,0,0,1,0.26,0.05,0,0,0,1,118,96,93.0,0.0,10,0,0.0,4,80.0,2,0,6,0,1,0,0,5,3,2,67.0,3,60.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,26,0,0,1,0.02,0.05,1,0,0,0,20,9,75.0,1.0,1,1,25.0,1,50.0,0,0,1,0,0,0,0,2,0,0,0.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.2,0,64,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,64,0,0,0,0.0,0.08,0,0,0,2,26,12,75.0,2.0,2,1,100.0,1,100.0,1,0,0,0,0,0,0,2,2,2,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,64,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,4,0,0,0,0.0,0.0,0,0,0,0,1,1,100.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,86,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,3,0,0,0,0.0,0.0,0,0,0,0,9,8,100.0,0.0,0,0,0.0,0,0.0,1,0,1,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,86,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,87,0,0,1,0.05,0.02,0,0,0,2,103,74,84.0,1.0,22,0,0.0,1,17.0,0,2,9,0,2,1,0,3,5,0,0.0,3,50.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,86,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,25-26-conference-league-crystal-palace-vs-zrinjski-mostar,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,94,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
